,file_name,1,2,3,4,5,6,7,8,9,10,Class
0,430_C_VFL_1110s_10_3.csv,15.721,15.148,356.96,9.3861,2.1761,8.2731,0.47402,0.17149,0.25279,0.052309,1
1,422_C_VF_1050s_10_3.csv,122.46,36.549,196.12,3179.2,1319.5,905.41,45.545,184.45,85.418,14.719,1
2,605_C_VFL_1157s_10_3.csv,25.162,91.227,103.67,9394.8,47.639,13.163,15.726,77.737,22.403,4.6222,1
3,427_C_VF_736_6s_10_3.csv,77.225,23.066,240.17,551.04,57.02,22.283,8.5147,12.167,1.0562,0.1576,1
4,430_C_VF_560_7s_10_3.csv,85.012,15.784,338.87,211.89,20.462,8.3732,14.469,13.239,4.0988,3.2274,1
5,614_C_VF_1060s_10_3.csv,833.96,469.48,406.69,6425.5,7993.8,154.38,639.53,1163.8,1160.2,148.32,1
6,422_C_VF_1102s_10_3.csv,310.85,129.72,155.94,954.81,2137.6,1635.8,66.733,111.05,119.98,48.741,1
7,422_C_VF_1272s_10_3.csv,66.262,56.453,189.45,1442.5,645.27,420.4,114.08,56.076,6.0831,36.667,1
8,427_C_VF_551_6s_10_3.csv,25.781,13.311,207.1,647.98,43.318,14.099,27.081,6.9936,1.1982,2.5336,1
9,424_C_VF_881_5s_10_3.csv,16.191,4.1098,113.32,555.41,151.79,3.4037,14.536,9.0108,4.9933,3.0362,1
10,612_C_VF_1206s_10_3.csv,59.964,76.044,145.26,3605.6,97.659,3.4797,48.231,49.497,1.8094,3.6457,1
11,426_C_VF_561s_10_3.csv,8.7907,5.6782,19.493,61.298,60.921,36.697,102.98,7.1859,2.8511,1.4762,1
12,426_C_VF_605s_10_3.csv,5.9074,28.835,215.71,200.34,246.75,18.866,2.2795,1.4325,2.6549,1.3313,1
13,429_C_VFL_1389_5s_10_3.csv,37.412,11.885,87.114,601.23,4.4885,5.8155,9.634,89.139,1.554,2.0614,1
14,426_C_VF_452_5s_10_3.csv,54.792,9.7384,3.3248,2.303,5.3677,129.96,80.552,2.2825,0.7493,3.6968,1
15,607_C_VF_1104_5s_10_3.csv,13.588,16.843,301.61,1274.9,360.07,11.984,75.558,66.997,76.642,6.4466,1
16,427_C_VFL_547_4s_10_3.csv,31.265,16.324,156.06,749.24,27.492,14.071,51.601,4.4462,0.55939,5.2579,1
17,430_C_VF_553s_10_3.csv,52.05,15.871,124.08,103.36,2.2924,2.3431,3.3535,0.56521,2.2282,2.3734,1
18,422_C_VF_1094s_10_3.csv,346.88,177.17,106.49,915.52,1494.6,568.78,42.724,24.029,41.899,37.564,1
19,418_C_VFL_873_7s_10_3.csv,128.47,782.17,13005.0,6094.7,62.045,144.71,129.53,18.396,50.021,127.53,1
20,430_C_VF_529s_10_3.csv,72.358,1.3445,165.42,374.38,3.3166,3.6491,29.057,0.5234,0.44805,0.26797,1
21,427_C_VF_619s_10_3.csv,10.154,207.43,247.07,1299.5,28.143,5.6788,26.288,33.844,6.2192,2.0249,1
22,426_C_VF_471s_10_3.csv,13.766,6.8014,3.9607,5.7814,10.452,0.86537,4.2934,29.464,59.235,14.557,1
23,423_C_VF_735s_10_3.csv,162.21,52.244,31.893,52.856,263.99,379.3,29.177,5.1547,3.6957,2.4326,1
24,418_C_VFL_1075s_10_3.csv,220.48,1043.9,21921.0,979.55,200.6,120.82,83.799,10.281,82.805,86.267,1
25,426_C_VF_666s_10_3.csv,11.312,18.045,70.921,218.64,340.91,30.496,7.6508,3.2063,2.4931,3.5266,1
26,427_C_VF_581s_10_3.csv,33.107,22.569,109.77,282.89,8.813,9.5341,16.535,15.609,1.4906,2.4519,1
27,429_C_VF_1385_5s_10_3.csv,51.921,13.181,4.3895,719.58,44.604,3.5063,0.23522,126.79,12.085,0.62947,1
28,418_C_VFL_748_5s_10_3.csv,196.34,250.23,1896.9,11748.0,537.67,17.058,31.143,242.94,53.102,45.908,1
29,427_C_VF_595s_10_3.csv,12.412,15.278,535.71,1095.8,188.25,15.497,32.782,6.2489,7.559,0.75598,1
30,418_C_VFL_776_8s_10_3.csv,226.15,272.83,10427.0,4211.2,67.141,121.7,136.54,12.553,47.338,132.48,1
31,422_C_VF_1313s_10_3.csv,80.017,43.425,184.69,105.52,117.93,222.95,114.84,10.311,25.945,9.5271,1
32,612_C_VF_1210_5s_10_3.csv,1839.4,107.65,470.87,2463.5,1609.0,25.241,10.55,54.305,6.199,4.0945,1
33,430_C_VF_983s_10_3.csv,26.355,68.938,63.58,10.098,8.3654,105.35,1.4227,4.3351,3.535,2.6302,1
34,426_C_VF_492s_10_3.csv,27.866,1.5552,6.594,0.59586,20.982,40.175,40.723,56.755,20.143,0.11291,1
35,426_C_VF_806s_10_3.csv,27.768,32.621,28.749,25.166,19.502,3.3669,4.7067,1.2945,1.9428,0.44833,1
