,file_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Class
0,427_C_VF_695s_15_2.csv,1.9194,4.2873,5.4315,280.34,342.74,961.43,184.82,37.937,43.54,14.367,10.22,1.7977,0.26094,3.7834,2.3753,1
1,427_C_VFL_558_4s_15_2.csv,39.638,28.434,88.418,335.44,464.93,1105.3,6.9878,28.837,36.087,41.448,12.022,6.7998,12.702,2.801,0.96422,1
2,430_C_VF_578s_15_2.csv,5.9417,4.5264,2.8852,40.505,79.027,59.207,29.909,2.4425,1.6307,2.6022,7.5378,10.64,1.9512,0.59453,0.44523,1
3,422_C_VF_1240s_15_2.csv,28.181,28.628,213.99,100.58,330.83,1530.3,890.72,132.98,318.68,348.62,11.683,25.3,34.529,14.04,27.692,1
4,427_C_VF_884s_15_2.csv,13.147,84.132,218.88,63.724,66.025,134.03,31.995,3.4212,0.51653,0.34983,1.0547,4.0287,4.876,0.89247,0.18305,1
5,423_C_VF_685s_15_2.csv,25.839,8.2282,7.8885,36.215,18.96,7.477,7.3506,43.662,14.336,0.577,0.69611,1.9882,5.3873,11.186,1.2927,1
6,422_C_VF_1183s_15_2.csv,178.63,4.0645,64.578,177.9,207.86,1822.2,1449.1,564.63,3838.5,233.99,55.407,127.64,16.611,26.457,31.748,1
7,430_C_VF_358s_15_2.csv,17.915,8.7362,4.0636,8.4508,353.41,254.17,10.075,0.41755,3.0192,2.3671,19.315,5.9517,0.11675,0.060147,0.10984,1
8,430_C_VF_1307s_15_2.csv,4.9419,6.0476,38.249,450.97,116.59,1.8567,7.7187,14.283,2.5723,0.90516,1.1062,4.4281,1.5363,0.30422,0.12619,1
9,427_C_VF_734_2s_15_2.csv,31.271,16.646,243.11,405.02,175.49,1243.2,61.687,18.537,35.071,14.31,2.9722,3.2681,4.2147,2.8292,3.031,1
10,427_C_VF_774s_15_2.csv,51.217,8.7373,177.42,997.3,715.0,110.12,71.223,16.217,30.143,22.238,1.3673,3.828,0.67065,2.6231,3.8782,1
11,426_C_VF_1300s_15_2.csv,28.538,3.8875,30.662,76.403,32.657,114.84,451.21,448.39,239.44,3.6945,4.9563,0.7298,3.3407,1.9189,6.602,1
12,422_C_VF_1076_5s_15_2.csv,350.37,54.755,214.58,166.1,173.33,1643.8,860.31,363.93,869.9,25.921,119.66,47.003,16.82,11.757,36.785,1
13,426_C_VF_616s_15_2.csv,3.9135,11.152,17.143,27.747,49.585,26.759,71.069,19.04,10.808,4.5935,3.1905,1.6406,0.30727,4.1533,3.9078,1
14,422_C_VF_998s_15_2.csv,157.42,11.554,20.627,70.301,1467.8,4982.4,3355.2,2351.8,623.92,13.623,36.87,56.301,98.947,98.967,175.19,1
15,422_C_VF_951s_15_2.csv,46.305,2.2516,1.7472,4.2587,3.7062,13.347,139.23,1713.6,56.637,6.9179,1.7676,2.0346,5.9557,22.692,173.31,1
16,422_C_VFL_1034s_15_2.csv,197.0,19.697,351.52,104.07,3877.0,1795.6,453.77,2845.0,9.5205,87.436,38.505,23.579,4.3343,123.72,97.353,1
17,421_C_VFL_961_4s_15_2.csv,96.701,79.022,16.076,432.63,540.84,3394.5,612.36,180.89,355.98,147.02,45.077,293.61,142.06,102.37,42.743,1
18,424_C_VF_935s_15_2.csv,1.8135,11.409,8.9114,43.136,211.55,699.62,329.6,12.41,4.1063,6.1751,3.0587,3.7288,6.4796,1.2627,0.38856,1
19,429_C_VFL_1398s_15_2.csv,28.158,3.591,11.337,13.221,104.1,164.49,8.2752,1.0293,2.5632,9.368,17.266,24.107,2.111,0.45076,3.0858,1
20,430_C_VFL_1273s_15_2.csv,20.187,31.077,17.69,1205.8,1081.0,6.3498,2.2087,3.9436,1.523,0.23589,1.0384,0.35299,1.6979,0.10323,0.15875,1
21,427_C_VF_950s_15_2.csv,122.32,362.99,99.226,85.749,18.574,71.385,30.974,17.755,0.57595,0.47863,2.6518,1.3299,0.97701,0.44105,1.4079,1
22,612_C_VF_1414s_15_2.csv,90.708,94.451,64.346,293.37,459.37,5144.7,123.71,29.78,24.685,17.875,366.17,69.485,25.724,51.107,22.991,1
23,429_C_VF_1288_5s_15_2.csv,10.227,2.3524,8.7405,3.5531,146.37,938.99,10.646,2.3818,1.3351,1.8368,4.2376,75.78,5.0073,0.54178,0.54971,1
24,426_C_VF_690s_15_2.csv,70.497,12.086,53.676,56.499,126.62,493.33,133.74,37.932,21.016,11.806,1.0769,2.8933,3.6271,4.445,0.43924,1
25,424_C_VF_926_5s_15_2.csv,32.948,51.369,84.969,30.91,19.858,96.155,308.34,13.591,7.5045,4.6349,6.6163,8.3904,8.1686,5.2635,1.4255,1
26,612_C_VF_1438s_15_2.csv,93.335,10.584,46.627,52.286,128.33,3583.4,184.1,1.4136,4.0164,9.3815,23.012,259.82,9.1294,1.6551,1.8421,1
27,426_C_VF_533_5s_15_2.csv,1.7377,3.9807,0.61024,1.0615,16.355,55.363,98.65,36.098,12.732,60.408,11.452,20.904,0.11484,0.93172,0.39686,1
28,419_C_VFL_446_3s_15_2.csv,260.72,74.544,218.29,116.75,963.27,431.9,7.0368,6.257,8.6867,43.68,9.1238,1.0854,0.50035,1.3258,1.5933,1
29,430_C_VF_555_5s_15_2.csv,3.8164,4.3884,5.0924,6.127,27.719,122.05,43.397,1.6156,0.095036,0.36527,2.9436,1.9227,0.21618,0.1365,0.026074,1
30,430_C_VFL_325s_15_2.csv,14.156,1.6337,0.83674,36.696,539.43,31.938,1.3705,4.4299,1.4773,11.133,6.8665,0.3547,0.29279,1.3066,3.6378,1
